BIEN;CÓDIGO INSTITUCIONAL;CÓDIGO SENESCYT;CLASE DE BIEN;MODELO ;SERIE;MARCA;ESTADO;UBICACIÓN;RESPONSABLE INSTITUCIONAL;NRO. DE ACTA ENTREGA DE RECEPCION;OBSERVACIONES;NRO. DE ACTA DE CONSTATACIÓN FÍSICA;VALOR;COLOR;MATERIAL
MONITOR;INT-SD1-EC-M0788-04;N/A;EQUIPO DE COMPUTO;N/A;N/A;LG;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
MONITOR;INT-SD1-EC-M0796-04;N/A;EQUIPO DE COMPUTO;N/A;N/A;LG;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
MONITOR;INT-SD1-EC-M0832-01;N/A;EQUIPO DE COMPUTO;N/A;N/A;LG;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN ESTUDIANTES GRADUADOS 2022;0;N/A;0;0
MONITOR;INT-SD1-EC-M0833-01;N/A;EQUIPO DE COMPUTO;N/A;N/A;LG;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN ESTUDIANTES GRADUADOS 2022 PENDIENTE;0;N/A;0;0
CPU;INT-LAB-EC-C027.2;N/A;EQUIPO DE COMPUTO;COMARIZEN717001190077;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;700;0;0
CPU;INT-LAB-EC-C028.2;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190073;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;700;0;0
CPU;INT-LAB-EC-C029.2;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190070;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;700;0;0
CPU;INT-LAB-EC-C030.2;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190071;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;20;0;0
CPU;INT-LAB-EC-C031.2;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190075;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;700;0;0
CPU;INT-LAB-EC-C032.2;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190074;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;700;0;0
CPU;INT-LAB-EC-C033.2;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190072;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;700;0;0
CPU;INT-LAB-EC-C034.2;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190076;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;700;0;0
CPU;INT-LAB-EC-C035.2;N/A;EQUIPO DE COMPUTO;COMARIZEN71700011968;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;700;0;0
CPU;INT-LAB-EC-C036.2;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190069;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;700;0;0
CPU;INT-LAB-EM-EC-C051.2;N/A;EQUIPO DE COMPUTO;CORE I 5 9400F 3;MBO ASUS H310 - E;N/A;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONADO POR ESTUDIANTES GRADUADOS EN MARZO 2020 REGISTRADO EN SENESCYT;0;634;0;0
CPU;INT-LAB-EM-EC-C052.2;N/A;EQUIPO DE COMPUTO;CORE I 5 9400F 3;MBO ASUS H310 - E;N/A;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONADO POR ESTUDIANTES GRADUADOS EN MARZO 2020 REGISTRADO EN SENESCYT;0;634;0;0
CPU;INT-LAB-EC-C053.2;N/A;EQUIPO DE COMPUTO;CORE I 5 9400F 3;MBO ASUS H310 - E;N/A;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONADO POR ESTUDIANTES GRADUADOS EN MARZO 2020 REGISTRADO EN SENESCYT;0;634;0;0
CPU;INT-LAB-EC-C054.2;N/A;EQUIPO DE COMPUTO;CORE I 5 9400F 3;MBO ASUS H310 - E;N/A;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONADO POR ESTUDIANTES GRADUADOS EN MARZO 2020 REGISTRADO EN SENESCYT;0;634;0;0
CPU;INT-LAB-EC-C055.2;N/A;EQUIPO DE COMPUTO;CORE I 5 9400F 3;MBO ASUS H310 - E;N/A;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONADO POR ESTUDIANTES GRADUADOS EN MARZO 2020 REGISTRADO EN SENESCYT;0;634;0;0
CPU;INT-LAB-EC-C056.2;N/A;EQUIPO DE COMPUTO;CORE I 5 9400F 3;MBO ASUS H310 - E;N/A;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONADO POR ESTUDIANTES GRADUADOS EN MARZO 2020 REGISTRADO EN SENESCYT;0;634;0;0
CPU;INT-SG-EC-C0729.01;N/A;EQUIPO DE COMPUTO;NUC12WSH;BTWS230002KL;INTEL;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
CPU;INT-SG-EC-C0733.01;N/A;EQUIPO DE COMPUTO;NUC12WSH;BTWS230002J5;INTEL;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
CPU;INT-SG-EC-C0737.01;N/A;EQUIPO DE COMPUTO;NUC12WSH;BTWS2300025E;INTEL;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
CPU;INT-SG-EC-C0741.01;N/A;EQUIPO DE COMPUTO;NUC12WSH;BTWS230002HT;INTEL;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
CPU;INT-AE-EC-C0749.01;N/A;EQUIPO DE COMPUTO;NUC12WSH;BTWS230001YM;INTEL;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
CPU;INT-AS-EC-C0753-01;N/A;EQUIPO DE COMPUTO;NUC12WSH;BTWS2300022C;INTEL;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
CPU;INT-AD-EC-C0757-01;N/A;EQUIPO DE COMPUTO;NUC12WSH;BTWS230002BL;INTEL;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
CPU;INT-SD2-EC-C0761-01;N/A;EQUIPO DE COMPUTO;NUC12WSH;BTWS2300022P;INTEL;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
CPU;INT-SD1-EC-C0773-01;N/A;EQUIPO DE COMPUTO;NUC12WSH;BTWS2300025R;INTEL;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
CPU;INT-SD1-EC-C0777-01;N/A;EQUIPO DE COMPUTO;NUC12WSH;BTWS230001X8;INTEL;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
CPU;INT-SD1-EC-C0781-01;N/A;EQUIPO DE COMPUTO;NUC12WSH;BTWS230001S8;INTEL;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
CPU;INT-SD1-EC-C0785-01;N/A;EQUIPO DE COMPUTO;NUC12WSH;BTWS2300025Z;INTEL;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
CPU;INT-SD1-EC-C0793-01;N/A;EQUIPO DE COMPUTO;NUC12WSH;BTWS23000227;INTEL;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
CPU;INT-SD1-EC-C0832-02;N/A;EQUIPO DE COMPUTO;NUC12WSH;BTWS230001YF;INTEL;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN ESTUDIANTES GRADUADOS 2022;0;N/A;0;0
CPU;INT-SD1-EC-C0833-02;N/A;EQUIPO DE COMPUTO;NUC12WSH;BTWS230001YF;INTEL;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN ESTUDIANTES GRADUADOS 2022;0;N/A;0;0
TECLADO;INT-LAB-EC-T027.3;N/A;EQUIPO DE COMPUTO;COMARIZEN717001190077;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;20;0;0
TECLADO;INT-LAB-EC-T028.3;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190073;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;20;0;0
TECLADO;INT-LAB-EC-T029.3;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190070;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;20;0;0
TECLADO;INT-LAB-EC-T030.3;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190071;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;12;0;0
TECLADO;INT-LAB2-T025.02;N/A;EQUIPO DE COMPUTO;GENERICO;N/A;OMEGA;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT sin una tecla DARLE BAJA - CAMBIAR;0;20;0;0
TECLADO;INT-LAB-EC-T032.3;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190074;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT cae tecla mas ;0;20;0;0
TECLADO;INT-LAB-EC-T033.3;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190076;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;20;0;0
TECLADO;INT-LAB-EC-T034.3;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190072;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;20;0;0
TECLADO;INT-LAB-EC-T035.3;N/A;EQUIPO DE COMPUTO;COMARIZEN71700011968;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;20;0;0
TECLADO;INT-LAB-EC-T036.3;N/A;EQUIPO DE COMPUTO;COMARIZEN7170001190069;KALLPA-AM370R1700;ARI;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACIÓN GADIP REGISTRADO EN SENESCYT;0;20;0;0
TECLADO;INT-LAB-EM-EC-T051.3;N/A;EQUIPO DE COMPUTO;N/A;XP17C8617090;GENIUS;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONADO POR ESTUDIANTES GRADUADOS EN MARZO 2020 REGISTRADO EN SENESCYT guardado;0;N/A;0;0
TECLADO;INT-LAB-EM-EC-T052.3;N/A;EQUIPO DE COMPUTO;N/A;N/A;N/A;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONADO POR ESTUDIANTES GRADUADOS EN MARZO 2020 REGISTRADO EN SENESCYT;0;N/A;0;0
TECLADO;INT-LAB-EC-T053.3;N/A;EQUIPO DE COMPUTO;N/A;N/A;ARES;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONADO POR ESTUDIANTES GRADUADOS EN MARZO 2020 REGISTRADO EN SENESCYT;0;N/A;0;0
TECLADO;INT-LAB-EC-T054.3;N/A;EQUIPO DE COMPUTO;N/A;N/A;N/A;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONADO POR ESTUDIANTES GRADUADOS EN MARZO 2020 REGISTRADO EN SENESCYT;0;N/A;0;0
TECLADO;INT-LAB-EC-T055.3;N/A;EQUIPO DE COMPUTO;N/A;N/A;N/A;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONADO POR ESTUDIANTES GRADUADOS EN MARZO 2020 REGISTRADO EN SENESCYT;0;N/A;0;0
TECLADO;INT-LAB-EC-T056.3;N/A;EQUIPO DE COMPUTO;N/A;N/A;N/A;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONADO POR ESTUDIANTES GRADUADOS EN MARZO 2020 REGISTRADO EN SENESCYT;0;N/A;0;0
TECLADO;INT-SG-EC-T0731.03;N/A;EQUIPO DE COMPUTO;YU0042;2232MR05A3D8;LOGITECH;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
TECLADO;INT-SG-EC-T0735.03;N/A;EQUIPO DE COMPUTO;YU0042;2232MR05A118;LOGITECH;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
TECLADO;INT-SG-EC-T0739.03;N/A;EQUIPO DE COMPUTO;YU0042;2232MR05A688;LOGITECH;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
TECLADO;INT-SG-EC-T0743.03;N/A;EQUIPO DE COMPUTO;YU0042;2232MR05A5A8;LOGITECH;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
TECLADO;INT-AE-EC-T0751.03;N/A;EQUIPO DE COMPUTO;YU0042;2232MR05A148;LOGITECH;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
TECLADO;INT-AS-EC-T0755-03;N/A;EQUIPO DE COMPUTO;YU0042;2232MR05A0F8;LOGITECH;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
TECLADO;INT-AD-EC-T0759-03;N/A;EQUIPO DE COMPUTO;YU0042;2232MR05A168;LOGITECH;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
TECLADO;INT-SD2-EC-T0763-03;N/A;EQUIPO DE COMPUTO;YU0042;2232MR05A128;LOGITECH;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
TECLADO;INT-SD1-EC-T0775-03;N/A;EQUIPO DE COMPUTO;YU0042;2232MR05A218;LOGITECH;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
TECLADO;INT-SD1-EC-T0779-03;N/A;EQUIPO DE COMPUTO;YU0042;2232MR05A248;LOGITECH;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
TECLADO;INT-SD1-EC-T0783-03;N/A;EQUIPO DE COMPUTO;YU0042;2232MR05A238;LOGITECH;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
TECLADO;INT-SD1-EC-T0787-03;N/A;EQUIPO DE COMPUTO;YU0042;2232MR05A338;LOGITECH;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
TECLADO;INT-SD1-EC-T0795-03;N/A;EQUIPO DE COMPUTO;YU0042;2232MR05A318;LOGITECH;BUENO;LABORATORIO ESCUELA MUNICIPAL;ING. VANESA CAJO;0;DONACION CONSEJO ESTUDIANTIL 2022 SE REGISTRA EN SENECYT;0;N/A;0;0
